Group,Subjects,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Time_coverage_7,Time_coverage_8,Time_coverage_9,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Duration_7,Duration_8,Duration_9,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6,Occurrence_7,Occurrence_8,Occurrence_9
2,65,8.70470637234486,8.78800499791753,15.2436484798001,9.2877967513536,8.28821324448147,10.4539775093711,8.66305705955852,15.6601416076635,14.9104539775094,0.0265903307888041,0.0229847494553377,0.0290476190476191,0.0233752620545074,0.022562358276644,0.0253535353535354,0.0254901960784314,0.0296998420221169,0.0281446540880503,131,153,210,159,147,165,136,211,212
2,66,7.66347355268638,9.03790087463557,10.6622240733028,9.03790087463557,8.95460224906289,12.3281965847564,9.95418575593503,17.201166180758,15.1603498542274,0.0247311827956989,0.0239514348785872,0.0260162601626016,0.0223251028806584,0.0217171717171717,0.0281904761904762,0.0260348583877996,0.0327777777777778,0.0284820031298905,124,151,164,162,165,175,153,210,213
2,67,8.7463556851312,7.24698042482299,9.82923781757601,9.24614743856726,4.99791753436068,13.2861307788421,10.9537692628072,16.826322365681,18.8671386922116,0.0357142857142857,0.0276190476190476,0.0354354354354354,0.0336363636363636,0.0263157894736842,0.0421957671957672,0.0368347338935574,0.0451901565995526,0.0452095808383234,98,105,111,110,76,126,119,149,167
2,68,7.08038317367763,9.16284881299459,10.7038733860891,9.62099125364431,9.95418575593503,11.1203665139525,10.9954185755935,15.1187005414411,16.2432319866722,0.0236111111111111,0.025462962962963,0.0269392033542977,0.0246794871794872,0.0232943469785575,0.0294701986754967,0.0293333333333333,0.0336111111111111,0.0292792792792793,120,144,159,156,171,151,150,180,222
2,69,6.33069554352353,12.8279883381924,16.2015826738859,14.1191170345689,9.16284881299459,6.66389004581424,8.91295293627655,8.20491461890879,17.5760099958351,0.0232415902140673,0.0251633986928105,0.0311698717948718,0.026036866359447,0.0216962524654832,0.0203562340966921,0.0239373601789709,0.0239659367396594,0.0299290780141844,109,204,208,217,169,131,149,137,235
2,70,7.91336942940441,7.7884214910454,11.911703456893,10.0374843815077,8.41316118284048,12.4531445231154,9.57934194085798,16.95127030404,14.9521032902957,0.0231143552311436,0.0221040189125296,0.0288888888888889,0.0221915285451197,0.0221491228070176,0.0236176935229068,0.0236625514403292,0.0301481481481482,0.0267113095238095,137,141,165,181,152,211,162,225,224
2,71,7.37192836318201,9.03790087463557,13.1611828404831,10.7871720116618,9.32944606413994,12.6613910870471,10.0374843815077,13.9108704706372,13.7026239067055,0.0225190839694657,0.0239514348785872,0.0250793650793651,0.0238489871086556,0.0219607843137255,0.0252072968490879,0.0241967871485944,0.0271544715447155,0.0253858024691358,131,151,210,181,170,201,166,205,216
2,72,7.12203248646397,8.91295293627655,14.2857142857143,12.5780924614744,7.12203248646397,10.2457309454394,8.49645980841316,14.2857142857143,16.95127030404,0.0247826086956522,0.0247685185185185,0.0310688405797102,0.0260794473229706,0.0215909090909091,0.0248484848484849,0.0283333333333333,0.0309009009009009,0.0287429378531074,115,144,184,193,132,165,120,185,236
2,73,6.99708454810496,11.4535610162432,13.8692211578509,8.45481049562682,10.4956268221574,9.37109537692628,8.5381091211995,14.7855060391504,16.0349854227405,0.0266666666666667,0.0261904761904762,0.0269417475728155,0.0245169082125604,0.0251497005988024,0.0260416666666667,0.0251225490196079,0.0342003853564547,0.0299844236760125,105,175,206,138,167,144,136,173,214
2,74,8.95460224906289,9.16284881299459,11.6618075801749,10.6205747605165,9.99583506872137,10.7038733860891,7.87172011661808,16.4514785506039,14.5772594752187,0.0261557177615572,0.0224948875255624,0.0282828282828283,0.0234806629834254,0.0227272727272727,0.0232789855072464,0.0217241379310345,0.0277777777777778,0.0268817204301075,137,163,165,181,176,184,145,237,217
