group,subject,Time_coverage_1,Time_coverage_2,Time_coverage_3,Time_coverage_4,Time_coverage_5,Time_coverage_6,Duration_1,Duration_2,Duration_3,Duration_4,Duration_5,Duration_6,Occurrence_1,Occurrence_2,Occurrence_3,Occurrence_4,Occurrence_5,Occurrence_6
2,5,16.9096209912536,12.4531445231154,18.5755935027072,15.3685964181591,17.2844648063307,19.408579758434,0.0433760683760684,0.0404054054054054,0.0451417004048583,0.043107476635514,0.0411706349206349,0.0456862745098039,234,185,247,214,252,255
2,6,15.8267388588088,12.8696376509788,16.9929196168263,16.3265306122449,17.9508538109121,20.0333194502291,0.0407725321888412,0.039819587628866,0.0403162055335968,0.0406639004149377,0.0409695817490494,0.0466085271317829,233,194,253,241,263,258
2,7,17.4094127446897,12.4531445231154,18.6172428154935,16.7430237401083,16.7013744273219,18.0758017492711,0.0442796610169491,0.0391361256544502,0.0473516949152542,0.0448660714285714,0.0447544642857143,0.0430555555555555,236,191,236,224,224,252
2,8,18.9087880049979,10.079133694294,20.0749687630154,15.5768429820908,17.2428154935444,18.1174510620575,0.0428301886792453,0.0327027027027027,0.043978102189781,0.0410087719298245,0.0424180327868852,0.0399816176470588,265,185,274,228,244,272
2,9,15.2019991670137,13.2444814660558,20.4081632653061,16.826322365681,14.3273635985006,19.9916701374427,0.0407366071428571,0.0385922330097087,0.045880149812734,0.0412244897959183,0.0390909090909091,0.0491803278688524,224,206,267,245,220,244
2,10,16.1182840483132,16.1182840483132,14.7855060391504,14.1191170345689,16.826322365681,22.0324864639733,0.0454225352112676,0.0441780821917808,0.0397982062780269,0.0415441176470588,0.0437229437229437,0.0582599118942731,213,219,223,204,231,227
2,11,17.326114119117,11.8700541441066,17.1595168679717,15.2436484798001,18.5755935027072,19.8250728862974,0.042798353909465,0.0378989361702128,0.0408730158730158,0.0399563318777292,0.0482683982683982,0.0481781376518218,243,188,252,229,231,247
2,12,16.6597251145356,13.8275718450646,17.4510620574761,16.8679716784673,17.8675551853394,17.326114119117,0.04,0.0395238095238095,0.044385593220339,0.0489130434782609,0.0498837209302325,0.0466367713004484,250,210,236,207,215,223
2,13,19.658475635152,11.5785089546022,17.1595168679717,15.3685964181591,19.158683881716,17.076218242399,0.0448669201520912,0.0379781420765027,0.0427385892116182,0.0443509615384615,0.0493562231759656,0.0468036529680365,263,183,241,208,233,219
2,14,15.9933361099542,15.0770512286547,16.5764264889629,14.5772594752187,18.1174510620575,19.658475635152,0.0440366972477064,0.0454773869346733,0.0469339622641509,0.0453367875647668,0.0485491071428571,0.0515283842794759,218,199,212,193,224,229
2,15,18.1591003748438,12.8279883381924,15.5768429820908,14.5772594752187,19.0753852561433,19.783423573511,0.0471861471861472,0.0411764705882353,0.0497340425531915,0.0494350282485876,0.0477083333333333,0.0525442477876106,231,187,188,177,240,226
2,16,15.9516867971678,15.1187005414411,14.9104539775094,14.3273635985006,17.7426072469804,21.9491878384007,0.0544034090909091,0.0509831460674157,0.0486413043478261,0.0524390243902439,0.0594972067039106,0.067219387755102,176,178,184,164,179,196
2,17,16.826322365681,13.9525197834236,18.2840483132028,14.2440649729279,17.5760099958351,19.1170345689296,0.0450892857142857,0.0445478723404255,0.0467021276595744,0.044300518134715,0.0462719298245614,0.0464574898785425,224,188,235,193,228,247
2,18,15.2852977925864,17.9508538109121,16.6180758017493,12.8279883381924,14.2024156601416,23.1153685964182,0.0501366120218579,0.0626453488372093,0.0506345177664975,0.0478260869565217,0.0451058201058201,0.0711538461538461,183,172,197,161,189,195
2,19,13.2861307788421,16.5347771761766,17.9925031236985,15.9100374843815,15.1603498542274,21.1162015826739,0.0390931372549019,0.0447072072072072,0.0471615720524017,0.0461352657004831,0.0433333333333333,0.0525933609958506,204,222,229,207,210,241
2,20,16.9096209912536,16.0766347355269,14.6605581007913,14.618908788005,15.7434402332362,21.990837151187,0.0463470319634703,0.0459523809523809,0.0444444444444444,0.0445431472081218,0.045,0.0559322033898305,219,210,198,197,210,236
2,21,16.6597251145356,11.7451062057476,17.9092044981258,16.5764264889629,19.3669304456476,17.7426072469804,0.0452488687782805,0.0414705882352941,0.0475663716814159,0.0444196428571428,0.0478395061728395,0.0459051724137931,221,170,226,224,243,232
2,22,14.868804664723,13.5360266555602,19.1170345689296,16.7430237401083,16.3681799250312,19.3669304456476,0.0407534246575342,0.0383254716981132,0.0426579925650557,0.0408536585365854,0.0414556962025316,0.0461309523809524,219,212,269,246,237,252
2,23,16.4931278633903,16.4098292378176,15.4518950437318,15.1603498542274,17.2428154935444,19.2419825072886,0.0419491525423729,0.0435840707964602,0.0417792792792793,0.0400881057268722,0.0409090909090909,0.0487341772151898,236,226,222,227,253,237
2,24,17.4094127446897,13.4110787172012,12.9529362765514,17.2428154935444,21.2411495210329,17.7426072469804,0.0452380952380952,0.0408629441624365,0.038875,0.0446120689655172,0.0501968503937008,0.0477578475336323,231,197,200,232,254,223
2,25,17.8259058725531,14.7855060391504,16.0766347355269,13.7859225322782,19.3252811328613,18.2007496876302,0.0440329218106996,0.0376059322033898,0.0398760330578512,0.039218009478673,0.0408450704225352,0.0406133828996282,243,236,242,211,284,269
2,26,17.6176593086214,13.1611828404831,15.7850895460225,15.5351936693045,19.3252811328613,18.5755935027072,0.0442468619246862,0.0391089108910891,0.0455528846153846,0.0441943127962085,0.0477366255144033,0.0456967213114754,239,202,208,211,243,244
2,27,16.2432319866722,12.5780924614744,16.1182840483132,17.201166180758,19.2003331945023,18.6588921282799,0.0391566265060241,0.0381313131313131,0.0403125,0.0421428571428571,0.043655303030303,0.0405797101449275,249,198,240,245,264,276
2,28,20.1582673885881,11.1203665139525,18.9504373177843,14.5772594752187,17.0345689296127,18.1591003748438,0.0463601532567049,0.0399700598802395,0.0471991701244813,0.0435323383084577,0.0440732758620689,0.0450413223140496,261,167,241,201,232,242
2,29,18.7421907538526,12.9529362765514,16.5764264889629,15.7850895460225,16.7430237401083,19.2003331945023,0.0462962962962963,0.0454678362573099,0.0469339622641509,0.0496073298429319,0.0510152284263959,0.0488347457627118,243,171,212,191,197,236
2,30,15.9100374843815,13.3694294044148,18.1174510620575,15.0354019158684,17.076218242399,20.4914618908788,0.045260663507109,0.0397277227722772,0.0407303370786517,0.039069264069264,0.0389733840304182,0.0445652173913043,211,202,267,231,263,276
